Pathogen_Intermediate,Pathogen,taxid,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass
Acinetobacter baumannii,Acinetobacter baumannii,470,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Mycobacterium poriferae,Mycolicibacterium poriferae,39694,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Snakehead novirhabdovirus,Snakehead novirhabdovirus,1980918,Novirhabdovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Aeromonas allosaccharophila,Aeromonas allosaccharophila,656,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Aeromonas bestiarum,Aeromonas bestiarum,105751,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Aeromonas dhakensis,Aeromonas dhakensis,196024,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Aeromonas encheleia,Aeromonas encheleia,73010,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Aeromonas salmonicida,Aeromonas salmonicida,645,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Anguillicoloides crassus,Anguillicola crassus,620897,Anguillicola,Anguillicolidae,Rhabditida,Chromadorea
Anguillid herpesvirus 1,Anguillid herpesvirus 1,150286,Cyprinivirus,Alloherpesviridae,Herpesvirales,Herviviricetes
Anguillid perhabdovirus,Anguillid perhabdovirus,1300113,Perhabdovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Bothriocephalus claviceps,Bothriocephalus claviceps,56209,Bothriocephalus,Bothriocephalidae,Bothriocephalidea,Cestoda
Delftia acidovorans,Delftia acidovorans,80866,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria
Eimeria anguillae,Eimeria anguillae,947528,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Gyrodactylus anguillae,Gyrodactylus anguillae,163383,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Proteocephalus macrocephalus,Proteocephalus macrocephalus,101341,Proteocephalus,Proteocephalidae,Proteocephalidea,Cestoda
Pseudodactylogyrus anguillae,Pseudodactylogyrus anguillae,158310,Pseudodactylogyrus,Pseudodactylogyridae,Dactylogyridea,Monogenea
Pseudodactylogyrus bini,Pseudodactylogyrus bini,165850,Pseudodactylogyrus,Pseudodactylogyridae,Dactylogyridea,Monogenea
Trypanosoma granulosum,Trypanosoma granulosum,260170,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
Vibrio anguillarum,Vibrio anguillarum,55601,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Vibrio vulnificus,Vibrio vulnificus,672,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Anguillicoloides novaezelandiae,Anguillicola novaezelandiae,620898,Anguillicola,Anguillicolidae,Rhabditida,Chromadorea
Erysipelothrix rhusiopathiae,Erysipelothrix rhusiopathiae,1648,Erysipelothrix,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
Anguillicola globiceps,Anguillicola globiceps,70163,Anguillicola,Anguillicolidae,Rhabditida,Chromadorea
Gyrodactylus nipponensis,Gyrodactylus nipponensis,163384,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Heterosporis anguillarum,Heterosporis anguillarum,184033,Heterosporis,Pleistophoridae,NA,NA
Anguillicoloides papernai,Anguillicola papernai,620899,Anguillicola,Anguillicolidae,Rhabditida,Chromadorea
Anguillicoloides australiensis,Anguillicola australiensis,620896,Anguillicola,Anguillicolidae,Rhabditida,Chromadorea
Paracardicoloides yamagutii,Paracardicoloides yamagutii,45380,Paracardicoloides,Aporocotylidae,Strigeidida,Trematoda
Anisakis pegreffii,Anisakis pegreffii,303229,Anisakis,Anisakidae,Rhabditida,Chromadorea
Mycobacterium montefiorense,Mycobacterium montefiorense,154654,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Anisakis physeteris,Anisakis physeteris,290545,Anisakis,Anisakidae,Rhabditida,Chromadorea
Gyrodactylus notatae,Gyrodactylus notatae,637377,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Steringophorus dorsolineatum,Steringophorus dorsolineatum,128745,Steringophorus,Fellodistomidae,Strigeidida,Trematoda
Aeromonas bivalvium,Aeromonas bivalvium,440079,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Anantrum tortum,Anantrum tortum,137564,Anantrum,Bothriocephalidae,Bothriocephalidea,Cestoda
Microsporidium cypselurus,Microsporidium cypselurus,147827,Microsporidium,NA,NA,NA
Potaspora morhaphis,Potaspora morhaphis,528271,Potaspora,NA,NA,NA
Ptychobothrium belones,Ptychobothrium belones,406071,Ptychobothrium,NA,Pseudophyllidea,Cestoda
Otobothrium penetrans,Otobothrium penetrans,648057,Otobothrium,Otobothriidae,Trypanorhyncha,Cestoda
Anisakis paggiae,Anisakis paggiae,342603,Anisakis,Anisakidae,Rhabditida,Chromadorea
Anisakis brevispiculata,Anisakis brevispiculata,303228,Anisakis,Anisakidae,Rhabditida,Chromadorea
Prosthenhystera obesa,Prosthenhystera obesa,232632,Prosthenhystera,Callodistomidae,Plagiorchiida,Trematoda
Nomimoscolex matogrossensis,Nomimoscolex matogrossensis,70649,Nomimoscolex,Monticelliidae,Proteocephalidea,Cestoda
Mycobacterium fortuitum,Mycolicibacterium fortuitum,1766,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Pleistophora hyphessobryconis,Pleistophora hyphessobryconis,689837,Pleistophora,Pleistophoridae,NA,NA
Stenamoeba amazonica,Stenamoeba amazonica,746910,Stenamoeba,Thecamoebida,Longamoebia,NA
Monticellia coryphicephala,Monticellia coryphicephala,93231,Monticellia,Monticelliidae,Proteocephalidea,Cestoda
Bohle iridovirus,Bohle iridovirus,100220,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
Cetobacterium somerae,Cetobacterium somerae,188913,Cetobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
Aerococcus viridans,Aerococcus viridans,1377,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli
Aeromonas caviae,Aeromonas caviae,648,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Edwardsiella ictaluri,Edwardsiella ictaluri,67780,Edwardsiella,Hafniaceae,Enterobacterales,Gammaproteobacteria
Francisella noatunensis,Francisella noatunensis,657445,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria
Pseudomonas putida,Pseudomonas putida,303,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
Paenibacillus thiaminolyticus,Paenibacillus thiaminolyticus,49283,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli
Tenacibaculum maritimum,Tenacibaculum maritimum,107401,Tenacibaculum,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
Mazocraeoides gonialosae,Mazocraeoides gonialosae,576922,Mazocraeoides,Mazocraeidae,Mazocraeidea,Monogenea
Vibrio harveyi,Vibrio harveyi,669,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Ichthyodinium chabelardi,Ichthyodinium chabelardi,393032,Ichthyodinium,NA,Syndiniales,Dinophyceae
Proteus vulgaris,Proteus vulgaris,585,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria
Bacillus altitudinis,Bacillus altitudinis,293387,Bacillus,Bacillaceae,Bacillales,Bacilli
Bacillus thuringiensis,Bacillus thuringiensis,1428,Bacillus,Bacillaceae,Bacillales,Bacilli
Staphylococcus cohnii,Staphylococcus cohnii,29382,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli
Dollfustrema hefeiensis,Dollfustrema hefeiensis,438692,Dollfustrema,Bucephalidae,Strigeidida,Trematoda
Dactylogyrus auriculatus,Dactylogyrus auriculatus,231282,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus chranilowi,Dactylogyrus chranilowi,231287,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Paradiplozoon nagibinae,Paradiplozoon nagibinae,230729,Paradiplozoon,Diplozoidae,Mazocraeidea,Monogenea
Dactylogyrus falcatus,Dactylogyrus falcatus,231317,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus wunderi,Dactylogyrus wunderi,231344,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus zandti,Dactylogyrus zandti,231345,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Diplozoon paradoxum,Diplozoon paradoxum,164266,Diplozoon,Diplozoidae,Mazocraeidea,Monogenea
Goussia balatonica,Goussia balatonica,947538,Goussia,Eimeriidae,Eucoccidiorida,Conoidasida
Gyrodactylus elegans,Gyrodactylus elegans,147589,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Naegleria pagei,Naegleria pagei,234920,Naegleria,Vahlkampfiidae,NA,NA
Pike fry sprivivirus,Pike fry sprivivirus,219584,Sprivivirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Dactylogyrus propinquus,Dactylogyrus propinquus,231332,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Allocreadium isoporum,Allocreadium isoporum,696493,Allocreadium,Allocreadiidae,Plagiorchiida,Trematoda
Dactylogyrus fraternus,Dactylogyrus fraternus,231322,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus minor,Dactylogyrus minor,142932,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus parvus,Dactylogyrus parvus,231331,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Gyrodactylus alburnensis,Gyrodactylus laevis,147597,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus carassii,Gyrodactylus carassii,147587,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus gracilihamatus,Gyrodactylus gracilihamatus,147593,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Ligula colymbi,Ligula colymbi,274293,Ligula,Diphyllobothriidae,Diphyllobothriidea,Cestoda
Octomacrum mexicanum,Octomacrum mexicanum,57258,Octomacrum,Octomacridae,Mazocraeidea,Monogenea
Dactylogyrus ramulosus,Dactylogyrus ramulosus,231334,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus tuba,Dactylogyrus tuba,231340,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus crivellius,Dactylogyrus crivellius,464487,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus dyki,Dactylogyrus dyki,231314,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus petenyi,Dactylogyrus petenyi,464488,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Bathybothrium rectangulum,Bathybothrium rectangulum,406055,Bathybothrium,Triaenophoridae,Bothriocephalidea,Cestoda
Dactylogyrus carpathicus,Dactylogyrus carpathicus,231285,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus malleus,Dactylogyrus malleus,231328,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Gyrodactylus barbi,Gyrodactylus barbi,147585,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus katharineri,Gyrodactylus katharineri,147596,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Dactylogyrus cornoides,Dactylogyrus cornoides,231288,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus cornu,Dactylogyrus cornu,231289,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus distinguendus,Dactylogyrus distinguendus,231311,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus sphyrna,Dactylogyrus sphyrna,231338,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Diplozoon bliccae,Paradiplozoon bliccae,147835,Paradiplozoon,Diplozoidae,Mazocraeidea,Monogenea
Eimeria leucisci,Eimeria leucisci,947549,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Naegleria clarki,Naegleria clarki,36333,Naegleria,Vahlkampfiidae,NA,NA
White bream virus,White bream virus,405554,Bafinivirus,Tobaniviridae,Nidovirales,Pisoniviricetes
Aeromonas piscicola,Aeromonas piscicola,600645,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Citrobacter braakii,Citrobacter braakii,57706,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Cyprinid herpesvirus 2,Cyprinid herpesvirus 2,317878,Cyprinivirus,Alloherpesviridae,Herpesvirales,Herviviricetes
Dactylogyrus dulkeiti,Dactylogyrus dulkeiti,231312,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus formosus,Dactylogyrus formosus,231321,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus inexpectatus,Dactylogyrus inexpectatus,231324,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus intermedius,Dactylogyrus intermedius,231325,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Deefgea chitinilytica,Deefgea chitinilytica,570276,Deefgea,Chromobacteriaceae,Neisseriales,Betaproteobacteria
Gyrodactylus gurleyi,Gyrodactylus gurleyi,83195,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus kobayashii,Gyrodactylus kobayashii,89149,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus sprostonae,Gyrodactylus sprostonae,241490,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Metagonimus takahashii,Metagonimus takahashii,84528,Metagonimus,Heterophyidae,Opisthorchiida,Trematoda
Mycobacterium aemonae,Mycobacterium aemonae,470075,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Mycobacterium interjectum,Mycobacterium interjectum,33895,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Philometroides carassii,Philometroides carassii,332281,Philometroides,Philometridae,Rhabditida,Chromadorea
Trichodinella epizootica,Trichodinella epizootica,990292,Trichodinella,Trichodinidae,Mobilida,Oligohymenophorea
Trypanosoma carassii,Trypanosoma carassii,38249,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
Contracaecum rudolphii,Contracaecum rudolphii,142972,Contracaecum,Anisakidae,Rhabditida,Chromadorea
Escherichia vulneris,Pseudescherichia vulneris,566,Pseudescherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Filamoeba sinensis,Filamoeba sinensis,308476,Filamoeba,NA,NA,Variosea
Gyrodactylus longoacuminatus,Gyrodactylus longoacuminatus,147600,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Octomacrum lanceatum,Octomacrum lanceatum,92194,Octomacrum,Octomacridae,Mazocraeidea,Monogenea
Diplostomum huronense,Diplostomum huronense,198606,Diplostomum,Diplostomidae,Diplostomida,Trematoda
Diplostomum indistinctum,Diplostomum indistinctum,198605,Diplostomum,Diplostomidae,Diplostomida,Trematoda
Hunterella nodulosa,Hunterella nodulosa,108243,Hunterella,Caryophyllaeidae,Caryophyllidea,Cestoda
Hysteromorpha triloba,Hysteromorpha triloba,234889,Hysteromorpha,Diplostomidae,Diplostomida,Trematoda
Philometra clavaeceps,Philometra clavaeceps,332285,Philometra,Philometridae,Rhabditida,Chromadorea
Laribacter hongkongensis,Laribacter hongkongensis,168471,Laribacter,Chromobacteriaceae,Neisseriales,Betaproteobacteria
Cedecea davisae,Cedecea davisae,158484,Cedecea,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Dactylogyrus lamellatus,Dactylogyrus lamellatus,231327,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Enterobacter amnigenus,Lelliottia amnigena,61646,Lelliottia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Raoultella ornithinolytica,Raoultella ornithinolytica,54291,Raoultella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Acinetobacter calcoaceticus,Acinetobacter calcoaceticus,471,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Cyprinid herpesvirus 1,Cyprinid herpesvirus 1,317858,Cyprinivirus,Alloherpesviridae,Herpesvirales,Herviviricetes
Pseudomonas fluorescens,Pseudomonas fluorescens,294,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
Yersinia enterocolitica,Yersinia enterocolitica,630,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
Yersinia frederiksenii,Yersinia frederiksenii,29484,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
Yersinia intermedia,Yersinia intermedia,631,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
Australian bat lyssavirus,Australian bat lyssavirus,90961,Lyssavirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Archigetes sieboldi,Archigetes sieboldi,507540,Archigetes,Caryophyllaeidae,Caryophyllidea,Cestoda
Dactylogyrus cryptomeres,Dactylogyrus cryptomeres,231309,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Goussia metchnikovi,Goussia metchnikovi,586547,Goussia,Eimeriidae,Eucoccidiorida,Conoidasida
Gyrodactylus gobiensis,Gyrodactylus gobiensis,147591,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus markakulensis,Gyrodactylus markakulensis,147603,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Stenamoeba limacina,Stenamoeba limacina,746894,Stenamoeba,Thecamoebida,Longamoebia,NA
Breviscolex orientalis,Breviscolex orientalis,137570,Breviscolex,Capingentidae,Caryophyllidea,Cestoda
Digramma interrupta,Digramma interrupta,122261,Digramma,Diphyllobothriidae,Diphyllobothriidea,Cestoda
Camallanus hypophthalmichthys,Camallanus hypophthalmichthys,375144,Camallanus,Camallanidae,Rhabditida,Chromadorea
Haplorchis pumilio,Haplorchis pumilio,235154,Haplorchis,Heterophyidae,Opisthorchiida,Trematoda
Inustiatus inustiatus,Inustiatus inustiatus,340998,Inustiatus,Diplozoidae,Mazocraeidea,Monogenea
Inustiatus aristichthysi,Inustiatus aristichthysi,340999,Inustiatus,Diplozoidae,Mazocraeidea,Monogenea
Sphaerothecum destruens,Sphaerothecum destruens,42893,Sphaerothecum,NA,Dermocystida,Ichthyosporea
Dactylogyrus crucifer,Dactylogyrus crucifer,231308,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Chryseobacterium balustinum,Chryseobacterium balustinum,246,Chryseobacterium,Weeksellaceae,Flavobacteriales,Flavobacteriia
Goussia janae,Goussia janae,169156,Goussia,Eimeriidae,Eucoccidiorida,Conoidasida
Gyrodactylus leucisci,Gyrodactylus leucisci,187848,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Dactylogyrus petruschewskyi,Dactylogyrus petruschewskyi,266013,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Paradiplozoon parabramisi,Paradiplozoon parabramisi,340991,Paradiplozoon,Diplozoidae,Mazocraeidea,Monogenea
Lissorchis kritskyi,Lissorchis kritskyi,415298,Lissorchis,Lissorchiidae,Plagiorchiida,Trematoda
Gyrodactylus macracanthus,Gyrodactylus macracanthus,607939,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Shewanella putrefaciens,Shewanella putrefaciens,24,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria
Gyrodactylus fossilis,Gyrodactylus fossilis,147590,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Pleistophora ovariae,Ovipleistophora ovariae,103445,Ovipleistophora,Pleistophoridae,NA,NA
Dactylogyrus borealis,Dactylogyrus borealis,231283,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Diplostomum phoxini,Diplostomum phoxini,116845,Diplostomum,Diplostomidae,Diplostomida,Trematoda
Gyrodactylus aphyae,Gyrodactylus aphyae,147584,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus jussii,Gyrodactylus jussii,178605,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus laevis,Gyrodactylus laevis,147597,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus macronychus,Gyrodactylus macronychus,147610,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus magnificus,Gyrodactylus magnificus,241486,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus pannonicus,Gyrodactylus pannonicus,187853,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus phoxini,Gyrodactylus phoxini,241487,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Dactylogyrus squameus,Dactylogyrus squameus,231339,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Metorchis orientalis,Metorchis orientalis,674132,Metorchis,Opisthorchiidae,Opisthorchiida,Trematoda
Philometroides pseudorasbori,Philometroides pseudorasbori,332286,Philometroides,Philometridae,Rhabditida,Chromadorea
Gyrodactylus rhodei,Gyrodactylus rhodei,147606,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Neorickettsia helminthoeca,Neorickettsia helminthoeca,33994,Neorickettsia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria
Caryophyllaeides fennica,Caryophyllaeides fennica,507535,Caryophyllaeides,Lytocestidae,Caryophyllidea,Cestoda
Caryophyllaeus laticeps,Caryophyllaeus laticeps,70618,Caryophyllaeus,Caryophyllaeidae,Caryophyllidea,Cestoda
Dactylogyrus caballeroi,Dactylogyrus caballeroi,231284,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus nanus,Dactylogyrus nanus,231330,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus rarissimus,Dactylogyrus rarissimus,231335,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus rutili,Dactylogyrus rutili,231336,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus similis,Dactylogyrus similis,231337,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Diplostomum baeri,Diplostomum baeri,183642,Diplostomum,Diplostomidae,Diplostomida,Trematoda
Diplozoon homoion,Paradiplozoon homoion,147838,Paradiplozoon,Diplozoidae,Mazocraeidea,Monogenea
Eimeria rutili,Eimeria rutili,947531,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Gyrodactylus lucii,Gyrodactylus lucii,187852,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus ouluensis,Gyrodactylus ouluensis,544553,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus pomeraniae,Gyrodactylus pomeraniae,449651,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus prostae,Gyrodactylus prostae,147605,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus rutilensis,Gyrodactylus rutilensis,147607,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
